web_url,headline,pub_date
https://www.nytimes.com/2021/03/29/theater/crowns-kinks-and-curls-review.html,"Review: In ‘Crowns, Kinks and Curls,’ Getting to the Roots of Black Hair",2021-03-29T20:03:52+0000
https://www.nytimes.com/2019/12/20/us/nj-hair-discrimination.html,New Jersey Is Third State to Ban Discrimination Based on Hair,2019-12-20T23:59:19+0000
https://www.nytimes.com/2019/06/28/us/natural-hair-discrimination-ban.html,California Is First State to Ban Discrimination Based on Natural Hair,2019-06-28T21:48:48+0000
https://www.nytimes.com/2022/04/05/movies/oscars-black-hair-chris-rock.html,One Last Takeaway From ‘The Slap’: Leave Black Women’s Hair Alone,2022-04-05T23:04:02+0000
https://www.nytimes.com/2017/07/19/fashion/beauty/curlfest-a-celebration-of-curl-confidence.html,"At Curlfest, a Celebration of Natural Hair and Black Beauty",2017-07-19T04:01:58+0000
https://www.nytimes.com/2011/04/19/health/research/19hazards.html,Hazards: More Culprits in Hair Loss Than Just the Salon,2011-04-15T20:24:10+0000
https://well.blogs.nytimes.com/2011/08/25/surgeon-general-calls-for-health-over-hair/,Surgeon General Calls for Health Over Hair,2011-08-25T21:52:27+0000
https://www.nytimes.com/2018/08/29/opinion/black-hair-girls-shaming.html,Why Are Black People Still Punished for Their Hair? ,2018-08-29T17:21:40+0000
https://www.nytimes.com/2016/03/24/arts/international/grappling-with-hair-issues.html,Grappling With Hair Issues,2016-03-24T15:08:24+0000
https://www.nytimes.com/2020/04/11/style/how-to-care-for-your-relaxed-hair-at-home.html,How to Care for Your Relaxed Hair at Home,2020-04-11T09:00:05+0000
https://www.nytimes.com/2018/02/14/style/black-panther-natural-hair.html,How ‘Black Panther’ Got Its Gorgeous Afrocentric Hair,2018-02-14T10:00:34+0000
https://www.nytimes.com/2019/12/04/health/cancer-hair-dye-black-women.html,Hair Dyes and Straighteners May Raise Breast Cancer Risk for Black Women,2019-12-05T00:09:41+0000
https://www.nytimes.com/2020/11/11/business/ups-black-natural-hair.html,UPS to Allow Natural Black Hairstyles and Facial Hair,2020-11-12T01:29:37+0000
https://www.nytimes.com/2020/04/16/parenting/child-hair.html,Why Do Moms Obsess Over Their Kids’ Hair?,2020-04-17T02:18:39+0000
https://www.nytimes.com/2012/06/17/magazine/so-you-think-you-can-be-a-hair-braider.html,So You Think You Can Be a Hair Braider?,2012-06-12T09:00:01+0000
https://www.nytimes.com/2012/02/10/arts/design/henry-ossawa-tanner-at-pennsylvania-academy-of-fine-arts.html,An African-American Painter Who Tried to Transcend Race,2012-02-09T22:46:15+0000
https://www.nytimes.com/2020/05/27/opinion/coronavirus-hair-care.html,Lockdown Taught Me to Care for My Natural Hair,2020-05-27T19:00:10+0000
https://www.nytimes.com/2018/02/18/nyregion/president-washington-hair-discovered.html,"Finding a Lock of George Washington’s Hair, and a Link to American History",2018-02-18T18:38:55+0000
https://www.nytimes.com/2013/08/01/fashion/a-truce-in-hand-to-hair-combat.html,A Truce in Hand-to-Hair Combat,2013-08-01T01:06:59+0000
https://www.nytimes.com/2019/02/18/style/hair-discrimination-new-york-city.html,New York City to Ban Discrimination Based on Hair,2019-02-18T10:00:02+0000
https://www.nytimes.com/2012/05/09/business/media/unilever-introduces-its-clear-hair-products-in-america.html,Clear Hair Products Enter a Cluttered Market,2012-05-09T01:00:24+0000
https://www.nytimes.com/2022/04/28/movies/natural-black-hairstyles-hollywood.html,"In Films and on TV, a New Openness to Natural Black Hairstyles",2022-04-28T14:00:12+0000
https://www.nytimes.com/2022/09/06/sports/soul-cap-swimming-fina.html,Swimming Federation Reverses Ban on Swim Cap Designed for Black Hair,2022-09-06T19:44:09+0000
https://www.nytimes.com/2010/09/12/fashion/12Curley.html,Gimme Hair Flying Straight and Free,2010-09-11T02:00:29+0000
https://www.nytimes.com/2021/02/26/us/army-haircut-women-grooming-standard.html,"In a Changing Military, the Army Eases Its Rules for Women’s Hair",2021-02-26T08:00:07+0000
https://www.nytimes.com/2021/05/13/us/north-carolina-high-school-hair-beads.html,Black Student Athlete Was Forced to Remove Hair Beads During Game,2021-05-13T22:47:13+0000
https://www.nytimes.com/2019/11/12/nyregion/nyc-salon-racial-natural-hair-discrimination.html,Salon Accused of Bias Will Be Taught to Style Black Hair,2019-11-13T04:56:40+0000
https://www.nytimes.com/2021/05/10/t-magazine/black-hair-weaves-wigs.html,The Joy of Black Hair,2021-05-10T09:03:20+0000
https://www.nytimes.com/2014/10/11/business/comer-cottrell-pioneer-of-hair-products-for-blacks-dies-at-82.html,"Comer Cottrell, Who Got Rich on Hair Curling, Dies at 82",2014-10-11T22:10:53+0000
https://www.nytimes.com/2010/11/22/business/global/22blond.html,"For Russia’s Poor, Blond Hair Is Snippet of Gold",2010-11-22T01:41:33+0000
https://www.nytimes.com/2016/01/07/travel/reader-response-a-natural-hair-salon-in-santo-domingo.html,Reader Response: A Natural Hair Salon in Santo Domingo,2016-01-07T17:29:20+0000
